#separator:tab
#html:true
#notetype:Hebrew Root
#deck:Biblical Hebrew::Root Deck
#columns:Front	Back	Frequency	Tags
#tags column:4
ירח	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">יֶרַח</div><table style="border-collapse:collapse"><tr><th style="padding:2px 8px">Form</th><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="direction:rtl;padding:2px 8px">יָרֵחַ</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">moon</td><td style="text-align:right;padding:2px 8px">27</td></tr><tr><td style="direction:rtl;padding:2px 8px">יְרַח</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">month</td><td style="text-align:right;padding:2px 8px">1</td></tr></table>	43	Hebrew:Root Hebrew:POS:Nominal Hebrew:Freq:10to49
יתום	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">יָתוֹם</div>	43	Hebrew:Root Hebrew:Freq:10to49
לוח	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">לוּחַ</div>	43	Hebrew:Root Hebrew:Freq:10to49
מחה	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">מָחָה</div><table style="border-collapse:collapse;margin-bottom:8px"><tr><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Stem</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Qal</td><td style="padding:2px 8px;font-style:italic">wipe out</td><td style="text-align:right;padding:2px 8px">22</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Niphal</td><td style="padding:2px 8px;font-style:italic">it will be wiped out</td><td style="text-align:right;padding:2px 8px">8</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Hiphil</td><td style="padding:2px 8px;font-style:italic">you wipe out</td><td style="text-align:right;padding:2px 8px">3</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Pual</td><td style="padding:2px 8px;font-style:italic">full of marrow</td><td style="text-align:right;padding:2px 8px">1</td></tr></table><table style="border-collapse:collapse"><tr><th style="padding:2px 8px">Form</th><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="direction:rtl;padding:2px 8px">מֵחַ</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">fat</td><td style="text-align:right;padding:2px 8px">2</td></tr><tr><td style="direction:rtl;padding:2px 8px">מֹחַ</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">fat</td><td style="text-align:right;padding:2px 8px">1</td></tr><tr><td style="direction:rtl;padding:2px 8px">מְחִי</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">stroke</td><td style="text-align:right;padding:2px 8px">1</td></tr></table>	43	Hebrew:Root Hebrew:POS:Verb Hebrew:Stem:Qal Hebrew:Stem:Niphal Hebrew:Stem:Hiphil Hebrew:Stem:Pual Hebrew:POS:Nominal Hebrew:Freq:10to49
נטש	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">נָטַשׁ</div><table style="border-collapse:collapse;margin-bottom:8px"><tr><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Stem</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Qal</td><td style="padding:2px 8px;font-style:italic">I will abandon</td><td style="text-align:right;padding:2px 8px">24</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Niphal</td><td style="padding:2px 8px;font-style:italic">they were spread out</td><td style="text-align:right;padding:2px 8px">6</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Pual</td><td style="padding:2px 8px;font-style:italic">it will be forsaken</td><td style="text-align:right;padding:2px 8px">1</td></tr></table><table style="border-collapse:collapse"><tr><th style="padding:2px 8px">Form</th><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="direction:rtl;padding:2px 8px">נְטִישָׁה</td><td style="padding:2px 8px">Noun (f)</td><td style="padding:2px 8px;font-style:italic">tendril</td><td style="text-align:right;padding:2px 8px">3</td></tr></table>	43	Hebrew:Root Hebrew:POS:Verb Hebrew:Stem:Qal Hebrew:Stem:Niphal Hebrew:Stem:Pual Hebrew:POS:Nominal Hebrew:Freq:10to49
ניחוח	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">נִיחוֹחַ</div>	43	Hebrew:Root Hebrew:Freq:10to49
נתץ	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">נָתַץ</div><table style="border-collapse:collapse;margin-bottom:8px"><tr><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Stem</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Qal</td><td style="padding:2px 8px;font-style:italic">they broke down</td><td style="text-align:right;padding:2px 8px">25</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Niphal</td><td style="padding:2px 8px;font-style:italic">they are broken out</td><td style="text-align:right;padding:2px 8px">4</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Hophal</td><td style="padding:2px 8px;font-style:italic">it will be broken up</td><td style="text-align:right;padding:2px 8px">1</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Piel</td><td style="padding:2px 8px;font-style:italic">they pulled down</td><td style="text-align:right;padding:2px 8px">6</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Pual</td><td style="padding:2px 8px;font-style:italic">it was torn down</td><td style="text-align:right;padding:2px 8px">1</td></tr></table>	43	Hebrew:Root Hebrew:POS:Verb Hebrew:Stem:Qal Hebrew:Stem:Niphal Hebrew:Stem:Hophal Hebrew:Stem:Piel Hebrew:Stem:Pual Hebrew:Freq:10to49
פארה	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">פְּאֹרָה</div><table style="border-collapse:collapse;margin-bottom:8px"><tr><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Stem</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Piel</td><td style="padding:2px 8px;font-style:italic">beautify</td><td style="text-align:right;padding:2px 8px">5</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Hithpael</td><td style="padding:2px 8px;font-style:italic">honor yourself</td><td style="text-align:right;padding:2px 8px">7</td></tr></table><table style="border-collapse:collapse"><tr><th style="padding:2px 8px">Form</th><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="direction:rtl;padding:2px 8px">פְּאֵר</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">embellishment</td><td style="text-align:right;padding:2px 8px">7</td></tr><tr><td style="direction:rtl;padding:2px 8px">פָּארוּר</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">illuminated</td><td style="text-align:right;padding:2px 8px">2</td></tr></table>	43	Hebrew:Root Hebrew:POS:Verb Hebrew:Stem:Piel Hebrew:Stem:Hithpael Hebrew:POS:Nominal Hebrew:Freq:10to49
פשט	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">פָּשַׁט</div><table style="border-collapse:collapse;margin-bottom:8px"><tr><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Stem</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Qal</td><td style="padding:2px 8px;font-style:italic">they made a raid</td><td style="text-align:right;padding:2px 8px">24</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Hiphil</td><td style="padding:2px 8px;font-style:italic">they stripped</td><td style="text-align:right;padding:2px 8px">11</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Piel</td><td style="padding:2px 8px;font-style:italic">strip</td><td style="text-align:right;padding:2px 8px">3</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Hithpael</td><td style="padding:2px 8px;font-style:italic">he stripped himself</td><td style="text-align:right;padding:2px 8px">1</td></tr></table>	43	Hebrew:Root Hebrew:POS:Verb Hebrew:Stem:Qal Hebrew:Stem:Hiphil Hebrew:Stem:Piel Hebrew:Stem:Hithpael Hebrew:Freq:10to49
רחב	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">רְחֹב</div>	43	Hebrew:Root Hebrew:Freq:10to49
שוע	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">שָׁוַע</div><table style="border-collapse:collapse;margin-bottom:8px"><tr><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Stem</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Piel</td><td style="padding:2px 8px;font-style:italic">I cry for help</td><td style="text-align:right;padding:2px 8px">17</td></tr></table><table style="border-collapse:collapse"><tr><th style="padding:2px 8px">Form</th><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="direction:rtl;padding:2px 8px">שַׁוְעָה</td><td style="padding:2px 8px">Noun (f)</td><td style="padding:2px 8px;font-style:italic">hallooing</td><td style="text-align:right;padding:2px 8px">11</td></tr><tr><td style="direction:rtl;padding:2px 8px">שׁוֹעַ</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">noble</td><td style="text-align:right;padding:2px 8px">3</td></tr><tr><td style="direction:rtl;padding:2px 8px">שׁוּעַ</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">halloo</td><td style="text-align:right;padding:2px 8px">2</td></tr></table>	43	Hebrew:Root Hebrew:POS:Verb Hebrew:Stem:Piel Hebrew:POS:Nominal Hebrew:Freq:10to49
שושן	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">שׁוּשַׁן</div>	43	Hebrew:Root Hebrew:Freq:10to49
ארגמן	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">אַרְגָּמָן</div><table style="border-collapse:collapse"><tr><th style="padding:2px 8px">Form</th><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="direction:rtl;padding:2px 8px">אַרְגְּוָן</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">purple.</td><td style="text-align:right;padding:2px 8px">3</td></tr><tr><td style="direction:rtl;padding:2px 8px">אַרְגְּוָן</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">purple</td><td style="text-align:right;padding:2px 8px">1</td></tr></table>	42	Hebrew:Root Hebrew:POS:Nominal Hebrew:Freq:10to49
גזל	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">גָּזַל</div><table style="border-collapse:collapse;margin-bottom:8px"><tr><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Stem</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Qal</td><td style="padding:2px 8px;font-style:italic">he has robbed</td><td style="text-align:right;padding:2px 8px">28</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Niphal</td><td style="padding:2px 8px;font-style:italic">it is taken away</td><td style="text-align:right;padding:2px 8px">1</td></tr></table><table style="border-collapse:collapse"><tr><th style="padding:2px 8px">Form</th><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="direction:rtl;padding:2px 8px">גָּזֵל</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">robbery</td><td style="text-align:right;padding:2px 8px">6</td></tr><tr><td style="direction:rtl;padding:2px 8px">גְּזֵלָה</td><td style="padding:2px 8px">Noun (f)</td><td style="padding:2px 8px;font-style:italic">that (he had robbed) (which he took violently away), spoil, violence.</td><td style="text-align:right;padding:2px 8px">6</td></tr></table>	42	Hebrew:Root Hebrew:POS:Verb Hebrew:Stem:Qal Hebrew:Stem:Niphal Hebrew:POS:Nominal Hebrew:Freq:10to49
גשם	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">גָּשַׁם</div><table style="border-collapse:collapse;margin-bottom:8px"><tr><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Stem</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Hiphil</td><td style="padding:2px 8px;font-style:italic">[those who] send rain</td><td style="text-align:right;padding:2px 8px">1</td></tr></table><table style="border-collapse:collapse"><tr><th style="padding:2px 8px">Form</th><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="direction:rtl;padding:2px 8px">גֶּשֶׁם</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">shower</td><td style="text-align:right;padding:2px 8px">35</td></tr><tr><td style="direction:rtl;padding:2px 8px">גֶּשֶׁם</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">body</td><td style="text-align:right;padding:2px 8px">5</td></tr><tr><td style="direction:rtl;padding:2px 8px">גֹּשֶׁם</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">rained upon.</td><td style="text-align:right;padding:2px 8px">1</td></tr></table>	42	Hebrew:Root Hebrew:POS:Verb Hebrew:Stem:Hiphil Hebrew:POS:Nominal Hebrew:Freq:10to49
חסר	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">חָסֵר</div><table style="border-collapse:collapse;margin-bottom:8px"><tr><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Stem</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Qal</td><td style="padding:2px 8px;font-style:italic">it will be lacking</td><td style="text-align:right;padding:2px 8px">18</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Hiphil</td><td style="padding:2px 8px;font-style:italic">he had a lack</td><td style="text-align:right;padding:2px 8px">2</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Piel</td><td style="padding:2px 8px;font-style:italic">depriving</td><td style="text-align:right;padding:2px 8px">1</td></tr></table><table style="border-collapse:collapse"><tr><th style="padding:2px 8px">Form</th><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="direction:rtl;padding:2px 8px">חָסֵר</td><td style="padding:2px 8px">Adj</td><td style="padding:2px 8px;font-style:italic">lacking</td><td style="text-align:right;padding:2px 8px">12</td></tr><tr><td style="direction:rtl;padding:2px 8px">חֹסֶר</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">poverty</td><td style="text-align:right;padding:2px 8px">3</td></tr><tr><td style="direction:rtl;padding:2px 8px">חֶסֶר</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">lack</td><td style="text-align:right;padding:2px 8px">2</td></tr><tr><td style="direction:rtl;padding:2px 8px">חֶסְרוֹן</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">deficiency</td><td style="text-align:right;padding:2px 8px">1</td></tr></table>	42	Hebrew:Root Hebrew:POS:Verb Hebrew:Stem:Qal Hebrew:Stem:Hiphil Hebrew:Stem:Piel Hebrew:POS:Nominal Hebrew:Freq:10to49
פתה	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">פָּתָה</div><table style="border-collapse:collapse;margin-bottom:8px"><tr><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Stem</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Qal</td><td style="padding:2px 8px;font-style:italic">it should be deceived</td><td style="text-align:right;padding:2px 8px">5</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Niphal</td><td style="padding:2px 8px;font-style:italic">it has been deceived</td><td style="text-align:right;padding:2px 8px">2</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Hiphil</td><td style="padding:2px 8px;font-style:italic">may he make spacious</td><td style="text-align:right;padding:2px 8px">1</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Piel</td><td style="padding:2px 8px;font-style:italic">entice</td><td style="text-align:right;padding:2px 8px">10</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Pual</td><td style="padding:2px 8px;font-style:italic">he will be deceived</td><td style="text-align:right;padding:2px 8px">3</td></tr></table><table style="border-collapse:collapse"><tr><th style="padding:2px 8px">Form</th><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="direction:rtl;padding:2px 8px">פְּתַי</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">open</td><td style="text-align:right;padding:2px 8px">2</td></tr></table>	42	Hebrew:Root Hebrew:POS:Verb Hebrew:Stem:Qal Hebrew:Stem:Niphal Hebrew:Stem:Hiphil Hebrew:Stem:Piel Hebrew:Stem:Pual Hebrew:POS:Nominal Hebrew:Freq:10to49
כבר	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">כָּבַר</div><table style="border-collapse:collapse;margin-bottom:8px"><tr><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Stem</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Hiphil</td><td style="padding:2px 8px;font-style:italic">he multiplies</td><td style="text-align:right;padding:2px 8px">2</td></tr></table><table style="border-collapse:collapse"><tr><th style="padding:2px 8px">Form</th><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="direction:rtl;padding:2px 8px">כַּבִּיר</td><td style="padding:2px 8px">Adj</td><td style="padding:2px 8px;font-style:italic">vast</td><td style="text-align:right;padding:2px 8px">10</td></tr><tr><td style="direction:rtl;padding:2px 8px">כְּבָר</td><td style="padding:2px 8px">Adj</td><td style="padding:2px 8px;font-style:italic">extent of time</td><td style="text-align:right;padding:2px 8px">9</td></tr><tr><td style="direction:rtl;padding:2px 8px">כְּבָר</td><td style="padding:2px 8px">Noun</td><td style="padding:2px 8px;font-style:italic">Kebar</td><td style="text-align:right;padding:2px 8px">8</td></tr><tr><td style="direction:rtl;padding:2px 8px">מַכְבֵּר</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">grate</td><td style="text-align:right;padding:2px 8px">6</td></tr><tr><td style="direction:rtl;padding:2px 8px">כִּבְרָה</td><td style="padding:2px 8px">Noun (f)</td><td style="padding:2px 8px;font-style:italic">length</td><td style="text-align:right;padding:2px 8px">3</td></tr><tr><td style="direction:rtl;padding:2px 8px">כְּבִיר</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">matrass</td><td style="text-align:right;padding:2px 8px">2</td></tr><tr><td style="direction:rtl;padding:2px 8px">כְּבָרָה</td><td style="padding:2px 8px">Noun (f)</td><td style="padding:2px 8px;font-style:italic">sieve</td><td style="text-align:right;padding:2px 8px">1</td></tr><tr><td style="direction:rtl;padding:2px 8px">מַכְבָּר</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">cloth</td><td style="text-align:right;padding:2px 8px">1</td></tr></table>	42	Hebrew:Root Hebrew:POS:Verb Hebrew:Stem:Hiphil Hebrew:POS:Nominal Hebrew:Freq:10to49
כוס	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">כּוֹס</div><table style="border-collapse:collapse"><tr><th style="padding:2px 8px">Form</th><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="direction:rtl;padding:2px 8px">כִּיס</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">cup</td><td style="text-align:right;padding:2px 8px">5</td></tr><tr><td style="direction:rtl;padding:2px 8px">קֶסֶת</td><td style="padding:2px 8px">Noun (f)</td><td style="padding:2px 8px;font-style:italic">cup</td><td style="text-align:right;padding:2px 8px">3</td></tr></table>	42	Hebrew:Root Hebrew:POS:Nominal Hebrew:Freq:10to49
כנור	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">כִּנּוֹר</div>	42	Hebrew:Root Hebrew:Freq:10to49
מנורה	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">מְנוֹרָה</div>	42	Hebrew:Root Hebrew:Freq:10to49
נוה	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">נָוֶה</div><table style="border-collapse:collapse;margin-bottom:8px"><tr><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Stem</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Qal</td><td style="padding:2px 8px;font-style:italic">he stays at home</td><td style="text-align:right;padding:2px 8px">1</td></tr></table>	42	Hebrew:Root Hebrew:POS:Verb Hebrew:Stem:Qal Hebrew:Freq:10to49
סריס	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">סָרִיס</div>	42	Hebrew:Root Hebrew:Freq:10to49
קדר	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">קָדַר</div><table style="border-collapse:collapse;margin-bottom:8px"><tr><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Stem</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Qal</td><td style="padding:2px 8px;font-style:italic">mourning</td><td style="text-align:right;padding:2px 8px">13</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Hiphil</td><td style="padding:2px 8px;font-style:italic">I made mourn</td><td style="text-align:right;padding:2px 8px">2</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Hithpael</td><td style="padding:2px 8px;font-style:italic">they grew dark</td><td style="text-align:right;padding:2px 8px">1</td></tr></table><table style="border-collapse:collapse"><tr><th style="padding:2px 8px">Form</th><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="direction:rtl;padding:2px 8px">קַדְרוּת</td><td style="padding:2px 8px">Noun (f)</td><td style="padding:2px 8px;font-style:italic">duskiness</td><td style="text-align:right;padding:2px 8px">1</td></tr><tr><td style="direction:rtl;padding:2px 8px">קְדֹרַנִּית</td><td style="padding:2px 8px">Adj</td><td style="padding:2px 8px;font-style:italic">blackish</td><td style="text-align:right;padding:2px 8px">1</td></tr></table>	42	Hebrew:Root Hebrew:POS:Verb Hebrew:Stem:Qal Hebrew:Stem:Hiphil Hebrew:Stem:Hithpael Hebrew:POS:Nominal Hebrew:Freq:10to49
שיח	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">שִׂיחַ</div><table style="border-collapse:collapse;margin-bottom:8px"><tr><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Stem</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Qal</td><td style="padding:2px 8px;font-style:italic">I will meditate</td><td style="text-align:right;padding:2px 8px">17</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Piel</td><td style="padding:2px 8px;font-style:italic">I meditate</td><td style="text-align:right;padding:2px 8px">2</td></tr></table><table style="border-collapse:collapse"><tr><th style="padding:2px 8px">Form</th><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="direction:rtl;padding:2px 8px">שִׂיחַ</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">contemplation</td><td style="text-align:right;padding:2px 8px">14</td></tr><tr><td style="direction:rtl;padding:2px 8px">שִׂיחַ</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">shoot</td><td style="text-align:right;padding:2px 8px">4</td></tr><tr><td style="direction:rtl;padding:2px 8px">שִׂיחָה</td><td style="padding:2px 8px">Noun (f)</td><td style="padding:2px 8px;font-style:italic">reflection</td><td style="text-align:right;padding:2px 8px">3</td></tr><tr><td style="direction:rtl;padding:2px 8px">שֵׂחַ</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">communion</td><td style="text-align:right;padding:2px 8px">1</td></tr></table>	42	Hebrew:Root Hebrew:POS:Verb Hebrew:Stem:Qal Hebrew:Stem:Piel Hebrew:POS:Nominal Hebrew:Freq:10to49
שני	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">שָׁנִי</div>	42	Hebrew:Root Hebrew:Freq:10to49
שקט	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">שָׁקַט</div><table style="border-collapse:collapse;margin-bottom:8px"><tr><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Stem</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Qal</td><td style="padding:2px 8px;font-style:italic">it was at peace</td><td style="text-align:right;padding:2px 8px">31</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Hiphil</td><td style="padding:2px 8px;font-style:italic">to be quiet</td><td style="text-align:right;padding:2px 8px">10</td></tr></table><table style="border-collapse:collapse"><tr><th style="padding:2px 8px">Form</th><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="direction:rtl;padding:2px 8px">שֶׁקֶט</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">tranquillity</td><td style="text-align:right;padding:2px 8px">1</td></tr></table>	42	Hebrew:Root Hebrew:POS:Verb Hebrew:Stem:Qal Hebrew:Stem:Hiphil Hebrew:POS:Nominal Hebrew:Freq:10to49
תבון	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">תָּבוּן</div>	42	Hebrew:Root Hebrew:Freq:10to49
אן	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">אָן</div>	41	Hebrew:Root Hebrew:Freq:10to49
